code,var,category,group,task,description,keep_model,ibs,performance,variance,num_classes,missing_rate,model,metric,restored_model
survival,death,survivals,survivals,survival,,True,0.2083,0.5894,,,0.0,as_concordance_index_ipcw_scorer,,False
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8222,0.6019,2.0,0.0,RidgeClassifier,f1_weighted,False
cancer,grade,cancer,cancer,classification,,True,,0.6889,0.9294,3.0,0.0,RidgeClassifier,f1_weighted,False
global,Sex,global,global,classification,,True,,0.7111,0.9663,2.0,0.0,RidgeClassifier,f1_weighted,False
