code,var,category,group,task,description,keep_model,ibs,performance,variance,num_classes,missing_rate,model,metric,restored_model
survival,death,survivals,survivals,survival,,True,0.2054,0.5835,,,0.0,as_concordance_index_ipcw_scorer,,False
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8111,0.6115,2.0,0.0,RidgeClassifier,f1_weighted,False
cancer,grade,cancer,cancer,classification,,True,,0.7222,0.9297,3.0,0.0,RidgeClassifier,f1_weighted,False
global,Sex,global,global,classification,,True,,0.7778,0.9662,2.0,0.0,RidgeClassifier,f1_weighted,False
