code,var,category,group,task,description,keep_model,ibs,performance,variance,num_classes,missing_rate,model,metric,restored_model
survival,death,survivals,survivals,survival,,True,0.2017,0.6342,,,0.0,as_concordance_index_ipcw_scorer,,False
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8925,0.6035,2.0,0.0,RidgeClassifier,f1_weighted,False
cancer,grade,cancer,cancer,classification,,True,,0.8817,0.9365,3.0,0.0,RidgeClassifier,f1_weighted,False
global,Sex,global,global,classification,,True,,0.6452,0.9695,2.0,0.0,RidgeClassifier,f1_weighted,False
