code,var,category,group,task,description,keep_model,ibs,performance,variance,num_classes,missing_rate,model,metric,restored_model
survival,death,survivals,survivals,survival,,True,0.1828,0.5763,,,0.01,as_concordance_index_ipcw_scorer,,False
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.7667,0.9344,2.0,0.0,RidgeClassifier,f1_weighted,False
global,Gender,global,global,classification,,True,,0.8276,0.9929,2.0,0.04,RidgeClassifier,f1_weighted,False
cancer,grade,cancer,cancer,classification,,True,,0.6333,0.9758,2.0,0.0,RidgeClassifier,f1_weighted,False
