code,var,category,group,task,description,keep_model,ibs,performance,variance,num_classes,missing_rate,model,metric,restored_model
survival,death,survivals,survivals,survival,,True,0.1981,0.5442,,,0.26,as_concordance_index_ipcw_scorer,,False
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9808,0.2144,2.0,0.16,RidgeClassifier,f1_weighted,False
global,Gender,global,global,classification,,True,,0.6585,0.9719,2.0,0.0,RidgeClassifier,f1_weighted,False
