,fold
4459,1496286
4460,3687920
4461,4916803
4462,3325586
4463,3868650
4464,3022786
4465,1899668
4466,3214294
4467,1961005
4468,3280688
4469,2235504
4470,1398440
4471,1131572
4472,2398540
4473,1427923
4474,4887030
4475,2662255
4476,2752791
4477,1440057
4478,1409376
4479,5081325
4480,1222000
4481,1885449
4482,5140146
4483,3161323
4484,1941784
4485,5376792
4486,1542792
4487,1217541
4488,5400781
4489,1908505
4490,4352135
4491,1939982
4492,1154677
4493,1480965
4494,3849883
4495,4630246
4496,4487693
4497,1288421
4498,3190898
4499,5965030
4500,3588385
4501,4083937
4502,1991479
4503,5792177
4504,3742613
4505,1220670
4506,4756722
4507,1495264
4508,5679901
4509,1799312
4510,1990523
4511,1828320
4512,2822648
4513,3815071
4514,3953885
4515,2764726
4516,1077622
4517,2894293
4518,3304113
4519,1048405
4520,2511045
4521,5285199
4522,1825921
4523,1247573
4524,4459303
4525,2104268
4526,5912567
4527,1866519
4528,3702457
4529,1928144
4530,4348204
4531,2950326
4532,1332343
4533,1281657
4534,3318688
4535,5409601
4536,2506510
4537,1280886
4538,5809086
4539,2555934
4540,2638047
4541,5408999
4542,1271372
4543,4879670
4544,5217956
4545,4872957
4546,4896872
4547,3539110
4548,2248637
4549,3676934
4550,5935366
4551,2128299
4552,5129013
4553,5012765
4554,1393380
4555,5084813
4556,5637250
4557,1622812
4558,3184232
4559,1844784
4560,4686095
4561,1414479
4562,1353408
4563,3973414
4564,1193664
4565,3433260
4566,1744196
4567,2232813
4568,2107350
4569,1582891
4570,2126486
4571,5525935
4572,5269576
4573,4331851
4574,1727642
4575,1242554
4576,2257170
4577,2260918
4578,3183602
4579,4349791
4580,3212631
4581,2256425
4582,5442623
4583,1006988
4584,3971690
4585,5147239
4586,1421543
4587,2117822
4588,5803926
4589,1409266
4590,4632747
4591,1612395
4592,4344898
4593,3179786
4594,4344696
4595,5388885
4596,4093674
4597,2983550
4598,2364922
4599,2137124
4600,5654006
4601,3181839
4602,1729505
4603,1060237
4604,1505733
4605,2534543
4606,4339243
4607,5606088
4608,2661576
4609,4094190
4610,1107211
4611,5683641
4612,1042674
4613,3957967
4614,2775239
4615,1288159
4616,3512391
4617,5540773
4618,3574709
4619,1006809
4620,1730130
4621,2917086
4622,5924596
4623,5908770
4624,3183997
4625,1534921
4626,5636235
4627,1077150
4628,1295177
4629,1864374
4630,5799715
4631,1020541
4632,1974126
4633,5927597
4634,5661184
4635,2889509
4636,5903466
4637,1524120
4638,2621441
4639,1457662
4640,5046955
4641,2989108
4642,2644994
4643,5374871
4644,2765652
4645,1060096
4646,1310776
4647,5378958
4648,1329885
4649,2521773
4650,2371820
4651,3557373
4652,1344435
4653,2114391
4654,2465289
4655,4742852
4656,4077341
4657,2520111
4658,3544884
4659,4350539
4660,2377630
4661,1494827
4662,1916824
4663,4087845
4664,2798376
4665,2297271
4666,1512779
4667,2783114
4668,5216200
4669,5998236
4670,3713047
4671,4636900
4672,5924235
4673,2950424
4674,1139266
4675,3407955
4676,4820265
4677,3579425
4678,1194822
4679,1386881
4680,2499645
4681,1033678
4682,1155814
4683,3051059
4684,2790373
4685,3301914
4686,4759155
4687,1430571
4688,1247933
4689,1926372
4690,1318332
4691,3960193
4692,5246075
4693,2665000
4694,1304446
4695,5383462
4696,4499824
4697,1818358
4698,2259421
4699,2108483
4700,4622085
4701,2634510
4702,5137440
4703,5661951
4704,5264165
4705,1804795
4706,3027083
4707,1098417
4708,1429530
4709,4473173
4710,3818814
4711,2912150
4712,3318673
4713,5809698
4714,1435160
4715,2135758
4716,4988175
4717,1335601
4718,1496311
4719,3866892
4720,1986847
4721,3294093
4722,1066625
4723,5117946
4724,4991165
4725,1961659
4726,2899765
4727,4609509
4728,1051240
4729,2933035
4730,1842181
4731,5968662
4732,3054093
4733,1303636
4734,1341078
4735,4501139
4736,1546574
4737,5678198
4738,1277751
4739,5683156
4740,5252036
4741,2259732
4742,1750189
4743,1534359
4744,2278045
4745,4992750
4746,1174415
4747,4991182
4748,1454217
4749,2429194
4750,4199435
4751,4616807
4752,3702793
4753,3738311
4754,4890208
4755,5145636
4756,5902587
4757,5378980
4758,1244284
4759,1178889
4760,1026708
4761,1225744
4762,1720007
4763,3557994
4764,1869074
4765,3963829
4766,3675731
4767,4165310
4768,1148292
4769,3572996
4770,3689331
4771,1507408
4772,4397816
4773,5375567
4774,3175923
4775,1359496
4776,2125636
4777,1144960
4778,2378562
4779,2329199
4780,3932640
4781,1874042
4782,1873460
4783,3039305
4784,1798119
4785,4589126
4786,4344448
4787,1875496
4788,2265310
4789,2885890
4790,3441390
4791,5737909
4792,1820630
4793,5528336
4794,5018487
4795,1966406
4796,3088101
4797,1379849
4798,1332320
4799,1260339
4800,4108051
4801,1182171
4802,5943299
4803,2131251
4804,4094446
4805,1335541
4806,2660820
4807,3742219
4808,3428519
4809,4726190
4810,2764566
4811,4609029
4812,1143514
4813,5021300
4814,1141755
4815,5116072
4816,5684485
4817,4216788
4818,4850209
4819,1344633
4820,4744832
4821,1506519
4822,1603448
4823,3963033
4824,1849402
4825,2196516
4826,1099713
4827,4463546
4828,5789391
4829,1857966
4830,2100118
4831,4631083
4832,2520548
4833,2011240
4834,5937419
4835,1138769
4836,2377815
4837,1171043
4838,1055097
4839,4872479
4840,2640590
4841,3018875
4842,2527777
4843,1419706
4844,5409431
4845,4208230
4846,5010007
4847,2274453
4848,3776227
4849,1474901
4850,1589696
4851,5394284
4852,2668669
4853,1161527
4854,1479017
4855,5638114
4856,1600376
4857,1526642
4858,1297409
4859,5870530
4860,4457073
4861,2887576
4862,3737244
4863,2129435
4864,5390083
4865,3455450
4866,3046351
4867,1318702
4868,5151015
4869,5681785
4870,1222418
4871,5418519
4872,1332238
4873,2928969
4874,2007792
4875,4589161
4876,1404453
4877,2508743
4878,1938759
4879,4259874
4880,1080254
4881,1029767
4882,1882090
4883,4885562
4884,3934411
4885,2654697
4886,2522116
4887,1530981
4888,4818909
4889,5022087
4890,2203632
4891,1141269
4892,1599119
4893,1446719
4894,3951172
4895,1995155
4896,1503089
4897,2106840
4898,5797629
4899,1835941
4900,4487207
4901,1290583
4902,1878329
4903,1750190
4904,2250048
4905,4086413
4906,3422354
4907,4331900
4908,1435955
4909,1884203
4910,3288099
4911,2490964
4912,4862401
4913,1742396
4914,4851584
4915,1848955
4916,1882496
4917,1564372
4918,5387196
4919,4104785
4920,3719483
4921,1933370
4922,1248938
4923,2529344
4924,4233399
4925,1515978
4926,1963522
4927,3951751
4928,2361724
4929,2506981
4930,2064697
4931,1239913
4932,5908749
4933,2933184
4934,1440378
4935,4353418
4936,5738431
4937,4820243
4938,5026036
4939,1473299
4940,2520576
4941,1223815
4942,1913560
4943,1110074
4944,4164647
4945,2004115
4946,2247222
4947,5666169
4948,1914200
4949,3934633
4950,1226149
4951,3415988
4952,1498268
4953,2505511
4954,4394962
4955,1401866
4956,2790069
4957,1951786
4958,2654874
4959,4528791
4960,5652077
4961,1824299
4962,5254081
4963,1152784
4964,2295742
4965,2112369
4966,4860951
4967,5137337
4968,1889296
4969,1288826
4970,1550269
4971,1389990
4972,2633083
4973,4488156
4974,5130700
4975,1828645
4976,1532693
4977,3738542
4978,5647897
4979,1483710
4980,1730582
4981,1993297
4982,1209450
4983,3168739
4984,5416277
4985,1985425
4986,5025044
4987,2515597
4988,5653756
4989,3063499
4990,1203151
4991,2797143
4992,1886485
4993,1877380
4994,3175505
4995,4498806
4996,5031189
4997,3418832
4998,5778826
4999,5267740
5000,2166288
5001,1536164
5002,1269198
5003,2759264
5004,5682123
5005,1311131
5006,3561553
5007,4365578
5008,4883335
5009,1864124
5010,1834364
5011,3698352
5012,4759895
5013,4228182
5014,2560899
5015,1102167
5016,1039732
5017,1643467
5018,5516350
5019,2926987
5020,4786422
5021,4221167
5022,5555222
5023,1096452
5024,4750490
5025,2521715
5026,5769887
5027,5314504
5028,3192541
5029,1528912
5030,1207188
5031,1572209
5032,2428935
5033,1922989
5034,2262794
5035,2409782
5036,4132327
5037,4759422
5038,4867013
5039,1218662
5040,3302812
5041,3028221
5042,3016613
5043,2516300
5044,1482510
5045,1027081
5046,2887481
5047,1837111
5048,3086823
5049,4503995
5050,1088924
5051,5641790
5052,1188368
5053,4948440
5054,1888891
5055,5535100
5056,5680868
5057,3716549
5058,1153093
5059,5148648
5060,4605196
5061,4765498
5062,3588105
5063,5393807
5064,4066710
5065,3671699
5066,3015908
5067,2624812
5068,1572038
5069,1479887
5070,3446366
5071,3672865
5072,3686969
5073,2388725
5074,1180215
5075,2521956
5076,4988181
5077,3672510
5078,1992898
5079,4726751
5080,4727225
5081,3018450
5082,1383334
5083,3052672
5084,1087211
5085,3053519
5086,5929954
5087,1738569
5088,1800636
5089,1575874
5090,2688886
5091,3451558
5092,2788356
5093,3326362
5094,2535617
5095,4227409
5096,4105262
5097,3424300
5098,1404054
5099,5409937
5100,3317386
5101,1146271
5102,5784769
5103,2529390
5104,3184585
5105,1940925
5106,2101437
5107,4105389
5108,5405704
5109,1473473
5110,3677760
5111,3440794
5112,2765007
5113,4353732
5114,3705423
5115,4606254
5116,5389003
5117,3820960
5118,5113716
5119,5552415
5120,2201406
5121,1318750
5122,3435497
5123,1521934
5124,4619837
5125,1571620
5126,1424122
5127,2256476
5128,1236516
5129,2780744
5130,5405922
5131,5009404
5132,1325617
5133,2246777
5134,4660868
5135,1844262
5136,2143984
5137,4350767
5138,1475938
5139,5923885
5140,1556262
5141,5770575
5142,1102475
5143,5016095
5144,3185824
5145,5520339
5146,1815142
5147,4457827
5148,3565407
5149,5659559
5150,1337336
5151,1868750
5152,3324042
5153,2630185
5154,5411822
5155,2793791
5156,3678264
5157,1829561
5158,3449605
5159,5402023
5160,2912054
5161,5293203
5162,5127226
5163,1086637
5164,3167236
5165,1137040
5166,2622627
5167,2257394
5168,1491809
5169,3019853
5170,3382756
5171,3183208
5172,4326013
5173,3703005
5174,1031735
5175,5659431
5176,4113689
5177,1177723
5178,4743472
5179,4605566
5180,1456836
5181,4492528
5182,3285579
5183,4891342
5184,5550804
5185,1193487
5186,5375590
5187,2430385
5188,5576348
5189,1346647
5190,5920696
5191,3542853
5192,5527793
5193,1736704
5194,2529526
5195,2988049
5196,1930769
5197,5971685
5198,1598056
5199,2770194
5200,5244496
5201,5376230
5202,4465382
5203,5406928
5204,2118764
5205,1420781
5206,1255109
5207,5534777
5208,3162647
5209,5119513
5210,2502702
5211,5312272
5212,5278284
5213,1110211
5214,5010182
5215,5015657
5216,4349736
5217,5928104
5218,1709948
5219,1748330
5220,1334408
5221,3343645
5222,1829510
5223,5140247
5224,3963917
5225,4759886
5226,5443130
5227,1939577
5228,1426474
5229,2396742
5230,5939270
5231,3574278
5232,4092766
5233,1939813
5234,1973186
5235,1950004
5236,4885780
5237,1038111
5238,3845567
5239,1751221
5240,2778375
5241,1351013
5242,5010817
5243,3042226
5244,3938641
5245,5739050
5246,5908757
5247,4346731
5248,2014330
5249,5271343
5250,3776400
5251,2121555
5252,3945121
5253,3585439
5254,4330821
5255,3553799
5256,5243059
5257,4884104
5258,2521694
5259,2520587
5260,1130759
5261,4754691
5262,1187294
5263,1105999
5264,1561280
5265,4637745
5266,2930038
5267,1918634
5268,1593702
5269,2128875
5270,2253992
5271,5129579
5272,1802895
5273,1580798
5274,1487776
5275,3947665
5276,2245417
5277,1319984
5278,1205850
5279,1436682
5280,3845511
5281,5555347
5282,1810105
5283,4610945
5284,1280702
5285,1359709
5286,4336600
5287,1261905
5288,1122306
5289,5527842
5290,1228017
5291,2508850
5292,3027728
5293,2274129
5294,3700193
5295,5679739
5296,5251673
5297,1563042
5298,3686476
5299,2409716
5300,3046622
5301,1535405
5302,4982448
5303,3436249
5304,1204526
5305,1556770
5306,4591354
5307,5915361
5308,5772173
5309,5793239
5310,3801547
5311,1169418
5312,1837033
5313,4744395
5314,3700871
5315,1502522
5316,3168407
5317,4348243
5318,3709284
5319,4266555
5320,2500783
5321,4077626
5322,5769420
5323,1926389
5324,2626174
5325,3512739
5326,1944222
5327,1716479
5328,5217463
5329,1813093
5330,2005486
5331,1074583
5332,2666343
5333,2011103
5334,5675433
5335,4863275
5336,1567093
5337,3309465
5338,1982649
5339,4655108
5340,1206082
5341,1184263
5342,1529066
5343,4897788
5344,3324276
5345,3283160
5346,2128312
5347,5908615
5348,3818575
5349,4083299
5350,1475561
5351,1706246
5352,2004930
5353,2649381
5354,5243030
5355,1735487
5356,2110350
5357,4465872
5358,1174431
5359,5117389
5360,5409780
5361,2664634
5362,4871487
5363,1407012
5364,1856740
5365,4619851
5366,2855079
5367,4892028
5368,2766118
5369,4332596
5370,1138404
5371,5133357
5372,2521142
5373,2260966
5374,3063264
5375,4853184
5376,1447934
5377,3447873
5378,1040332
5379,3705863
5380,4865627
5381,5419329
5382,5309475
5383,1259498
5384,2891885
5385,3707158
5386,4753128
5387,3327410
5388,4850520
5389,1534203
5390,3707865
5391,1610380
5392,1984113
5393,1323134
5394,2115214
5395,5253082
5396,2888003
5397,3307137
5398,2910016
5399,1516833
5400,2917391
5401,1894320
5402,2121865
5403,1467086
5404,4094896
5405,3848066
5406,3196196
5407,5391813
5408,1862649
5409,3452453
5410,3016104
5411,1360414
5412,1935659
5413,4763771
5414,3836377
5415,1430120
5416,3161330
5417,3831346
5418,1428868
5419,5342937
5420,1423078
5421,3738372
5422,1036718
5423,5641553
5424,5786351
5425,5909707
5426,3452365
5427,5159135
5428,5047263
5429,1018337
5430,1074900
5431,5253126
5432,4601816
5433,4103745
5434,3712166
5435,1841861
5436,4369876
5437,1539247
5438,5638579
5439,4374099
5440,1138515
5441,1063765
5442,2636552
5443,4166715
5444,3637527
5445,1243516
5446,5945924
5447,1852005
5448,4896246
5449,1296636
5450,2328058
5451,1823077
5452,1715676
5453,4295473
5454,5261795
5455,3817165
5456,5151193
5457,5254537
5458,1346109
5459,1613393
5460,5923714
5461,5773223
5462,1208467
5463,5784140
5464,3285258
5465,1412306
5466,2516894
5467,1224914
5468,1932231
5469,1092119
5470,1859734
5471,5415197
5472,1516229
5473,3425062
5474,1167625
5475,4361533
5476,1593640
5477,4210168
5478,5769588
5479,5214610
5480,3148117
5481,3569912
5482,3818895
5483,1439032
5484,4495917
5485,4085534
5486,2785666
5487,1644465
5488,2232846
5489,2372683
5490,5658605
5491,1197181
5492,2643729
5493,1036757
5494,4767435
5495,1471316
5496,4342870
5497,1100366
5498,1872440
5499,3736317
5500,1893469
5501,3190053
5502,1254499
5503,4227348
5504,1594457
5505,5771489
5506,1866103
5507,2368866
5508,1498469
5509,3244241
5510,5008360
5511,1996741
5512,1094785
5513,3579372
5514,1517825
5515,2662089
5516,1083130
5517,1547537
5518,5516504
5519,1414655
5520,5404208
5521,4103709
5522,1464293
5523,4726144
5524,2032334
5525,2949325
5526,4079412
5527,3196252
5528,4728325
5529,3376170
5530,3287808
5531,3695896
5532,5414193
5533,3831961
5534,1433701
5535,1168917
5536,2397376
5537,1707552
5538,1826013
5539,2779402
5540,2766824
5541,1731799
5542,4065883
5543,3581542
5544,1460773
5545,3173161
5546,3933992
5547,1985006
5548,4203667
5549,3676444
5550,3174732
5551,1386693
5552,3801185
5553,1298305
5554,3849159
5555,5289225
5556,3507228
5557,5001471
5558,3832076
5559,3146528
5560,3963963
5561,4363523
5562,5149435
5563,1133980
5564,1868491
5565,1176807
5566,4619705
5567,1119800
5568,5288391
5569,1431648
5570,2914366
5571,3411503
5572,1871692
5573,5804290
5574,3061788
5575,3873015
5576,5967312
5577,4467501
5578,3029362
5579,1870393
5580,1547217
5581,5475803
5582,4987466
5583,5211206
5584,1537627
5585,2901342
5586,3037598
5587,5769854
5588,4873155
5589,5281244
5590,1046949
5591,1880454
5592,5942220
5593,3809735
5594,3583877
5595,1502073
5596,2112786
5597,4623691
5598,2635452
5599,2105387
5600,3063483
5601,1987711
5602,1948149
5603,3563404
5604,2801312
5605,5684636
5606,1424311
5607,3839307
5608,3286549
5609,1381231
5610,5675861
5611,3026033
5612,4529907
5613,4522171
5614,1507744
5615,5022269
5616,4854264
5617,5919121
5618,1325246
5619,1497774
5620,1960766
5621,5933452
5622,4759458
5623,1356319
5624,1030617
5625,5116166
5626,1399085
5627,1586258
5628,3972273
5629,5939098
5630,1144884
5631,3053686
5632,4992409
5633,1423459
5634,3554310
5635,1053509
5636,3639267
5637,4459561
5638,4089819
5639,2911558
5640,4463463
5641,5650194
5642,4109655
5643,4475292
5644,1962149
5645,1018803
5646,3607037
5647,3699371
5648,1596817
5649,3815952
5650,2124543
5651,3021468
5652,5474130
5653,2648255
5654,1740605
5655,5084852
5656,5669147
5657,4229124
5658,1835959
5659,4851890
5660,3558884
5661,4238404
5662,3148615
5663,3435501
5664,5653254
5665,5772316
5666,1992109
5667,1300541
5668,5908367
5669,1564174
5670,1113527
5671,4462992
5672,2772086
5673,5638108
5674,1973396
5675,3611125
5676,5516069
5677,1738257
5678,1149443
5679,2459292
5680,5803730
5681,3060033
5682,1571884
5683,2901481
5684,4105938
5685,3567660
5686,5124827
5687,4752291
5688,1442728
5689,4727370
5690,1450175
5691,3438251
5692,4226398
5693,3245212
5694,3680453
5695,2529792
5696,4999985
5697,2500799
5698,5243901
5699,2642515
5700,1029165
5701,1811482
5702,4240787
5703,3950372
5704,2692493
5705,4751336
5706,3320249
5707,3444582
5708,4722786
5709,3153648
5710,4791736
5711,1236672
5712,1010413
5713,1589158
5714,1380472
5715,1945316
5716,1094455
5717,1829460
5718,1714083
5719,5675537
5720,3434792
5721,1884420
5722,4766331
5723,4728895
5724,2118376
5725,1622580
5726,3169384
5727,3607552
5728,5734537
5729,1519001
5730,1895789
5731,1612529
5732,5182955
5733,1743782
5734,1194735
5735,1240349
5736,1704781
5737,2122918
5738,1551858
5739,4607873
5740,1901458
5741,3411665
5742,3433613
5743,2380043
5744,5269958
5745,1143676
5746,2460576
5747,3720272
5748,2524632
5749,5706749
5750,1599369
5751,1902772
5752,1467620
5753,2264664
5754,5271835
5755,5125753
5756,4470283
5757,3690655
5758,4463830
5759,4500056
5760,1980855
5761,3637756
5762,3575699
5763,5659166
5764,1019085
5765,5400091
5766,5770513
5767,3810543
5768,2538852
5769,1159790
5770,5647105
5771,2909535
5772,2533249
5773,1542401
5774,5921399
5775,1895026
5776,5796514
5777,4724358
5778,2236828
5779,4496161
5780,4460215
5781,5477587
5782,5808318
5783,4265739
5784,4730210
5785,4228083
5786,5533482
5787,1732509
5788,4240433
5789,1567977
5790,2531688
5791,3814556
5792,2884520
5793,3296234
5794,5776949
5795,5662189
5796,1115326
5797,2794511
5798,3181338
5799,5664107
5800,5254046
5801,1248419
5802,4243943
5803,2364469
5804,2630801
5805,1280796
5806,2369370
5807,1809719
5808,2519370
5809,3550184
5810,2495154
5811,2639920
5812,3413326
5813,5800335
5814,1841719
5815,1748801
5816,3251523
5817,1145277
5818,5658411
5819,4102397
5820,5536039
5821,1381410
5822,2773055
5823,1975618
5824,3314597
5825,5184407
5826,5648307
5827,3174108
5828,1812454
5829,2244720
5830,1543734
5831,1875207
5832,4738086
5833,1736326
5834,5275068
5835,5517714
5836,4105705
5837,1974134
5838,2781072
5839,4613229
5840,2538255
5841,1080182
5842,2504618
5843,4855208
5844,3411059
5845,5673657
5846,2536703
5847,4428145
5848,3454219
5849,3023745
5850,1551026
5851,5399856
5852,1948979
5853,3677364
5854,3841675
5855,1898416
5856,1396787
5857,1432355
5858,2898579
5859,5914975
5860,1837519
5861,1093003
5862,5286759
5863,4631744
5864,2650715
5865,4083780
5866,2132115
5867,2592329
5868,3583463
5869,3803494
5870,1180857
5871,4212499
5872,5925013
5873,2001821
5874,1007945
5875,1059317
5876,1277662
5877,1820751
5878,3969325
5879,4589640
5880,1600972
5881,1489151
5882,1880214
5883,1122207
5884,1870990
5885,1581764
5886,1492393
5887,2146259
5888,3844029
5889,3179119
5890,2883796
5891,1409205
5892,5152941
5893,4395891
5894,2425214
5895,5969108
5896,4244095
5897,5182670
5898,4074627
5899,5022622
5900,4093427
5901,1105220
5902,3580919
5903,1997108
5904,3180639
5905,3193509
5906,5527114
5907,2399901
5908,3277442
5909,1938978
5910,1403980
5911,1520134
5912,1413472
5913,4366587
5914,1254511
5915,3577154
5916,3296800
5917,5926365
5918,2790364
5919,4101269
5920,1514270
5921,5266386
5922,1507201
5923,2126430
5924,5421461
5925,3685643
5926,1406916
5927,5912169
5928,4082885
5929,1935144
5930,2125962
5931,3581946
5932,5544293
5933,5264891
5934,1943639
5935,4628960
5936,3677108
5937,1621281
5938,2787746
5939,2666406
5940,5669343
5941,5838037
5942,2499173
5943,4132648
5944,1579612
5945,3832427
5946,1940556
5947,1132114
5948,1148972
5949,3903911
5950,1228634
5951,3444537
5952,2641295
5953,4427443
5954,5650235
5955,5139368
5956,2533935
5957,1165059
5958,5873025
5959,4686455
5960,4086720
5961,1917303
5962,1255094
5963,3323223
5964,3170380
5965,1676180
5966,3905742
5967,4364857
5968,1839428
5969,2525918
5970,2360813
5971,4066533
5972,5776203
5973,1419023
5974,3440857
5975,3562814
5976,2763307
5977,3579012
5978,1403206
5979,3280448
5980,1841209
5981,1979281
5982,4860371
5983,1988249
5984,2516509
5985,3160170
5986,1490093
5987,1182678
5988,1493984
5989,3432296
5990,5183920
5991,3114125
5992,2407030
5993,2661361
5994,5933005
5995,3408674
5996,5251085
5997,4371840
5998,5998807
5999,1797828
6000,1009934
6001,1302946
6002,4456994
6003,3567745
6004,1997906
6005,3282601
6006,2425303
6007,4326672
6008,5405963
6009,3932606
6010,5532020
6011,2922070
6012,2953358
6013,2896063
6014,1079846
6015,5666499
6016,5947638
6017,1964341
6018,1090466
6019,3952340
6020,2821084
6021,2530086
6022,5265869
6023,2369486
6024,2129795
6025,1177411
6026,4865808
6027,2391103
6028,1711352
6029,2889633
6030,5409920
6031,1544452
6032,2037341
6033,4526585
6034,1244249
6035,3576689
6036,1884139
6037,1283820
6038,5390441
6039,1164978
6040,5079199
6041,5511348
6042,1623278
6043,2646845
6044,3296736
6045,3699758
6046,4894451
6047,1053397
6048,1993959
6049,1382861
6050,1456459
6051,3742681
6052,5918346
6053,5651217
6054,1306435
6055,2253588
6056,2762628
6057,1859592
6058,1040016
6059,3435936
6060,2792839
6061,2003909
6062,4599191
6063,5133137
6064,4761233
6065,4237816
6066,1873766
6067,2802057
6068,3735649
6069,3326801
6070,5472395
6071,5682075
6072,2952539
6073,1035014
6074,1461868
6075,3672784
6076,3348919
6077,2492864
6078,1809123
6079,4351299
6080,3960777
6081,4112399
6082,3315934
6083,1343362
6084,4500234
6085,4355456
6086,5283710
6087,1714988
6088,5375478
6089,3842020
6090,2145014
6091,5314373
6092,1584415
6093,5158263
6094,4129307
6095,4077359
6096,2372752
6097,2140977
6098,5265943
6099,2655255
6100,4613805
6101,4090056
6102,2426630
6103,5683469
6104,3826462
6105,1919862
6106,1232349
6107,1138642
6108,5775149
6109,2233999
6110,2537593
6111,3819746
6112,4739232
6113,1199909
6114,1342257
6115,5415948
6116,4888516
6117,5544822
6118,1860635
6119,4335440
6120,1950445
6121,1096751
6122,5934343
6123,3833615
6124,2538242
6125,3038833
6126,1098155
6127,2016622
6128,2956457
6129,1141674
6130,2954632
6131,3811382
6132,1456585
6133,2143848
6134,4921635
6135,4296713
6136,2395466
6137,1732894
6138,3937763
6139,4734424
6140,3420032
6141,5682396
6142,4371714
6143,1897448
6144,1181688
6145,5270108
6146,1258422
6147,1107420
6148,2856132
6149,1231387
6150,4169709
6151,5525221
6152,5014639
6153,5923934
6154,4879160
6155,4896930
6156,1242576
6157,4755357
6158,1213854
6159,1498424
6160,1077645
6161,5939668
6162,1494050
6163,3718333
6164,4751572
6165,5130775
6166,2518884
6167,4857929
6168,4081726
6169,5132138
6170,2238553
6171,4325918
6172,2723549
6173,1238453
6174,5375288
6175,2761976
6176,2267505
6177,4073258
6178,1385652
6179,3640926
6180,3312864
6181,2010191
6182,3966166
6183,2626158
6184,5257608
6185,1253464
6186,1880865
6187,3964609
6188,1976706
6189,2639586
6190,3573925
6191,1040409
6192,4753103
6193,1032422
6194,1817258
6195,1964465
6196,5530351
6197,3032696
6198,3712508
6199,1252657
6200,1048052
6201,1908557
6202,5413825
6203,5126718
6204,4428311
6205,1974393
6206,4490607
6207,2378283
6208,1121383
6209,5608727
6210,3673710
6211,1803573
6212,4759823
6213,1503306
6214,4103791
6215,2623564
6216,2989579
6217,1858526
6218,2198783
6219,1957604
6220,2663251
6221,4611134
6222,4748996
6223,4373109
6224,3312310
6225,5654879
6226,5184818
6227,5392268
6228,5780629
6229,3413475
6230,5133293
6231,1933293
6232,1315241
6233,3036692
6234,3174263
6235,5283734
6236,2247551
6237,2785684
6238,3845870
6239,1474544
6240,2275462
6241,2626784
6242,3298678
6243,1031880
6244,5805968
6245,1509655
6246,1911805
6247,2500131
6248,5814459
6249,2163291
6250,3849603
6251,2397788
6252,4221525
6253,3832549
6254,4995317
6255,2273190
6256,1967409
6257,1186099
6258,1323051
6259,2621477
6260,4621451
6261,4661138
6262,1435467
6263,1326333
6264,2666188
6265,1488753
6266,5549227
6267,3186063
6268,4874373
6269,1829599
6270,1750677
6271,5113326
6272,5509657
6273,1532133
6274,3704224
6275,2932148
6276,2072352
6277,5007333
6278,2529012
6279,3448838
6280,5023040
6281,2636004
6282,4478363
6283,3971484
6284,2854307
6285,2010865
6286,1002775
6287,4228756
6288,1263617
6289,5397781
6290,1623464
6291,1712275
6292,1532394
6293,5291357
6294,2632345
6295,5147864
6296,3561182
6297,5796736
6298,5010293
6299,4995637
6300,3821510
6301,5160158
6302,5572821
6303,1556938
6304,2771725
6305,4213477
6306,3689162
6307,3945353
6308,5255025
6309,1384557
6310,2378090
6311,4758036
6312,1508110
6313,2278323
6314,4622230
6315,3061575
6316,2497819
6317,3218008
6318,1513108
6319,4235669
6320,5522975
6321,1085456
6322,4899197
6323,2895875
6324,1587999
6325,3441476
6326,4992796
6327,1929052
6328,4878660
6329,1823870
6330,5278895
6331,4038657
6332,3024892
6333,2379324
6334,3250408
6335,1056663
6336,1705075
6337,4225754
6338,1492417
6339,1902646
6340,5996801
6341,2254489
6342,2432837
6343,5284084
6344,3155981
6345,1451419
6346,1971824
6347,1232624
6348,3845181
6349,4456457
6350,5254603
6351,2758034
6352,2263137
6353,4990592
6354,3457041
6355,2097255
6356,1880938
6357,4221326
6358,3969990
6359,4560078
6360,5376419
6361,5410518
6362,1248997
6363,3017560
6364,4072873
6365,4897524
6366,1504794
6367,1330387
6368,1578386
6369,2525626
6370,3168535
6371,3838953
6372,2393827
6373,5249389
6374,1223765
6375,4595395
6376,3833882
6377,1862428
6378,2883747
6379,2759086
6380,1871955
6381,1810800
6382,1055449
6383,4071601
6384,3431953
6385,5391722
6386,5156386
6387,2887326
6388,5928744
6389,3413593
6390,2590324
6391,1554015
6392,2146997
6393,1712440
6394,5641527
6395,2100595
6396,1567557
6397,1976250
6398,2399993
6399,5394270
6400,5377824
6401,1572690
6402,3037579
6403,1201331
6404,5126816
6405,1359118
6406,1903322
6407,3841858
6408,1835398
6409,3806580
6410,5658050
6411,1178645
6412,5871185
6413,5925222
6414,1429488
6415,1026282
6416,1865696
6417,1881240
6418,1031260
6419,3571458
6420,5924420
6421,1172600
6422,4467128
6423,3838912
6424,3315910
6425,3948159
6426,1535081
6427,2384034
6428,5003508
6429,3163549
6430,5644132
6431,2270237
6432,1750212
6433,4634885
6434,4079188
6435,2792324
6436,2665258
6437,5256318
6438,1961049
6439,5252550
6440,4988712
6441,1319063
6442,3900954
6443,4608937
6444,2626109
6445,5243317
6446,1836430
6447,4136001
6448,1942323
6449,1995107
6450,4590092
6451,3158376
6452,5477501
6453,4238009
6454,4918042
6455,1811775
6456,1266456
6457,2592543
