,fold
532,4100672
533,1841075
534,4984342
535,2670392
536,3434561
537,1504589
538,1843681
539,1181085
540,4893522
541,3553494
542,1287528
543,2395162
544,1587871
545,4267371
546,1555455
547,1580334
548,3041383
549,5776437
550,2768781
551,5248131
552,1286272
553,3147531
554,1468302
555,2508720
556,3718232
557,3047653
558,2378965
559,1443124
560,3424868
561,1826038
562,1396878
563,4464350
564,2104630
565,5665522
566,3289948
567,4891548
568,1212729
569,3804049
570,1870051
571,5269452
572,4220602
573,4628637
574,4611911
575,2926857
576,2726840
577,1412619
578,4871425
579,5148473
580,4595819
581,1278306
582,1421807
583,3018056
584,2908010
585,5675329
586,3408213
587,2756093
588,5518297
589,2429106
590,5998209
591,4131057
592,3064044
593,1361118
594,5657533
595,4463436
596,5669914
597,5243503
598,4593152
599,2261826
600,1318841
601,1137900
602,2381369
603,1226278
604,1540881
605,1271040
606,2105098
607,5002853
608,5636596
609,1798978
610,1895874
611,1873561
612,1721447
613,1392891
614,3637703
615,1986383
616,3836887
617,5416865
618,1126914
619,2661974
620,1527478
621,1210930
622,2383401
623,4597708
624,4106190
625,2404034
626,1202712
627,2122009
628,3049146
629,4851505
630,3188754
631,5160094
632,2909197
633,1122920
634,1081170
635,4293328
636,1958565
637,2759976
638,1443175
639,2239202
640,1293428
641,1704933
642,1849881
643,6001973
644,3905505
645,2789076
646,3540543
647,5774772
648,2389623
649,1871125
650,4346788
651,4204639
652,5126425
653,1721998
654,5384766
655,1233175
656,4103044
657,1578289
658,4096926
659,1433396
660,3416774
661,1882648
662,4398465
663,1035499
664,4995849
665,4199088
666,2922831
667,4613095
668,1832683
669,2395842
670,1444283
671,1357844
672,2254397
673,2658373
674,5801021
675,1073151
676,5388786
677,1513861
678,1588427
679,3245587
680,3277740
681,4231932
682,1065366
683,1301420
684,2128072
685,1845829
686,5738693
687,4236312
688,2903300
689,2661326
690,5930812
691,1489697
692,1078160
693,1726113
694,3675808
695,1878291
696,1646398
697,2637923
698,4093412
699,1044594
700,5639751
701,5802780
702,1161950
703,1243075
704,1456254
705,1142029
706,4458150
707,2147736
708,4360971
709,1844631
710,2933299
711,1742793
712,4854987
713,2507676
714,1115239
715,1407673
716,1148640
717,1601403
718,5808182
719,1983184
720,5526088
721,5308689
722,3056192
723,5986950
724,1709679
725,4981290
726,5836716
727,3957417
728,4205730
729,5659937
730,3833389
731,1334675
732,3160312
733,1114997
734,3770748
735,1401651
736,5393364
737,4105068
738,4869553
739,3442596
740,1928815
741,1892940
742,1054359
743,1208649
744,4468473
745,1196921
746,5536295
747,1402701
748,3948628
749,3825131
750,5800757
751,2932795
752,2663558
753,4000310
754,1862237
755,2914744
756,1522867
757,2387771
758,4356322
759,4758547
760,2510745
761,5786680
762,4224502
763,1302425
764,1183082
765,3563966
766,4980998
767,2133367
768,4474361
769,1746559
770,3431302
771,5800401
772,3682500
773,5148693
774,3836308
775,5180725
776,3608790
777,1735262
778,2911999
779,4001126
780,1720423
781,5670510
782,3513646
783,3959768
784,2003135
785,5646328
786,1144124
787,2624574
788,1231020
789,1598601
790,5257334
791,5138216
792,1191670
793,1479036
794,1985865
795,1539062
796,2765366
797,5636140
798,1407040
799,1137493
800,5389852
801,1199945
802,1622657
803,2363872
804,1290286
805,1826667
806,1403326
807,1900704
808,3512138
809,5004014
810,3035037
811,5919210
812,1508956
813,1209184
814,2928174
815,4732208
816,2067679
817,1022555
818,2361091
819,1999116
820,2461155
821,2244240
822,1490663
823,2406235
824,5138741
825,3282283
826,3562126
827,1355695
828,5312289
829,3452778
830,3169305
831,4613442
832,3576217
833,5549917
834,1465601
835,1080318
836,4067612
837,3678442
838,1478126
839,1247443
840,3165764
841,4610128
842,3951991
843,1320247
844,2517579
845,3952192
846,1152006
847,2239768
848,3194876
849,2242158
850,1263439
851,1840949
852,5125544
853,5267771
854,1882717
855,3806101
856,5154790
857,2143203
858,1013478
859,3307950
860,1752711
861,1600079
862,3835916
863,3817318
864,1166510
865,3317819
866,1524061
867,1025606
868,5865889
869,3439514
870,3562436
871,1079261
872,2755565
873,1554795
874,2498027
875,5113307
876,1936886
877,5444266
878,1195619
879,2112978
880,3715097
881,5637794
882,4754382
883,5937303
884,3589073
885,4205649
886,1326772
887,5016345
888,4134515
889,2402835
890,5144537
891,1162325
892,2645093
893,2511416
894,1382470
895,3048703
896,1974417
897,5651162
898,3677280
899,1339092
900,3701296
901,4240748
902,2270723
903,2253905
904,5786269
905,1330841
906,1479482
907,4861832
908,4602451
909,3552425
910,2788981
911,1592063
912,1819646
913,1726768
914,2117321
915,4987701
916,3042149
917,1007383
918,4871615
919,2497017
920,1206491
921,1175588
922,1946540
923,2823148
924,4080667
925,1482085
926,4605337
927,1717442
928,5420926
929,4133435
930,1048046
931,3188787
932,1599176
933,1438542
934,5385310
935,4343703
936,1287407
937,2770443
938,3699791
939,3801700
940,1472251
941,1198611
942,5816377
943,4357918
944,3695888
945,5514402
946,4605663
947,5148619
948,5547062
949,1049963
950,3542591
951,1444121
952,1878177
953,2655035
954,2240559
955,2930754
956,5245607
957,1549594
958,2232800
959,1572186
960,2529448
961,1847196
962,1512737
963,2138834
964,2259690
965,1215821
966,4736467
967,2646370
968,3978853
969,2497966
970,4089738
971,3967390
972,1591705
973,3297068
974,5383430
975,4103625
976,5814571
977,5261472
978,1739479
979,3844536
980,2799386
981,2823029
982,3146651
983,4103105
984,1971852
985,1336547
986,1521251
987,3966105
988,1599282
989,1511998
990,3610606
991,4893352
992,5444474
993,4204972
994,5133539
995,5533610
996,1332592
997,2800988
998,1803362
999,1426270
1000,2012415
1001,2460608
1002,4722187
1003,2102975
1004,3671825
1005,4206086
1006,3297647
1007,2360415
1008,3574118
1009,4499998
1010,2384462
1011,5113310
1012,2267742
1013,1705842
1014,2669426
1015,4984945
1016,3846843
1017,4334516
1018,5798607
1019,1246785
1020,1354837
1021,1162257
1022,1418099
1023,1281489
1024,4136343
1025,5257576
1026,2097368
1027,5654180
1028,4106167
1029,2903132
1030,5010201
1031,4618680
1032,5374563
1033,2492614
1034,3411727
1035,4856686
1036,1474833
1037,5782166
1038,1380517
1039,2921234
1040,4067524
1041,2641053
1042,1389409
1043,3978517
1044,4750300
1045,2365065
1046,4872699
1047,3687625
1048,1913963
1049,1530542
1050,3429258
1051,3575992
1052,1182106
1053,5576627
1054,1336819
1055,1145328
1056,3436653
1057,3426507
1058,1752305
1059,1083644
1060,1231989
1061,4477364
1062,3451723
1063,4889018
1064,5117599
1065,3817287
1066,1986695
1067,1101676
1068,4615106
1069,1814021
1070,2141789
1071,1678190
1072,1965855
1073,5265852
1074,5408666
1075,1313488
1076,3442752
1077,4863102
1078,4334927
1079,5116192
1080,1593886
1081,4749296
1082,1526420
1083,5775299
1084,5706012
1085,4898571
1086,3549949
1087,3982326
1088,2754724
1089,3376255
1090,5787788
1091,2907773
1092,5260161
1093,2518374
1094,4358924
1095,1534918
1096,1033235
1097,6002788
1098,5684025
1099,5939417
1100,4082029
1101,3803867
1102,1448485
1103,5709520
1104,4883241
1105,1194789
1106,5653880
1107,1777347
1108,5047081
1109,5933399
1110,1797636
1111,2141836
1112,1262230
1113,3560930
1114,3548513
1115,1839381
1116,1858898
1117,5018981
1118,1847427
1119,3181428
1120,2252569
1121,1219732
1122,3189239
1123,1330110
1124,3043806
1125,2802049
1126,5604798
1127,5871984
1128,3709747
1129,1006735
1130,4335742
1131,5576218
1132,5677233
1133,5869741
1134,3945157
1135,1811244
1136,3701870
1137,3277727
1138,5814430
1139,5006144
1140,3303648
1141,4328382
1142,4506251
1143,1598676
1144,1223452
1145,1538430
1146,4239491
1147,4354037
1148,3148040
1149,2248008
1150,3050216
1151,5085832
1152,1826114
1153,3701954
1154,1913829
1155,1207406
1156,4756523
1157,1614878
1158,1494193
1159,5478149
1160,1457847
1161,2016533
1162,2115721
1163,4104768
1164,1405973
1165,1939562
1166,2663840
1167,5903598
1168,1311923
1169,1497283
1170,3561571
1171,4784460
1172,1413119
1173,4759788
1174,1086095
1175,5013222
1176,4759911
1177,5002220
1178,1338484
1179,2854239
1180,1640259
1181,2540634
1182,1728109
1183,1057205
1184,1814704
1185,3151533
1186,1385817
1187,4226986
1188,4895373
1189,2655473
1190,5378864
1191,1320706
1192,2199631
1193,3716680
1194,3182252
1195,5413626
1196,1519115
1197,3307321
1198,1441079
1199,1167904
1200,4615498
1201,2401397
1202,3043300
1203,3953064
1204,3303916
1205,1513906
1206,4339692
1207,1801055
1208,1245618
1209,1347791
1210,4482051
1211,1776369
1212,2761317
1213,2099000
1214,2033968
1215,3294977
1216,1850652
1217,1292780
1218,3478837
1219,3566460
1220,1723186
1221,5787823
1222,5396948
1223,1751989
1224,2102068
1225,4630835
1226,2651160
1227,4752046
1228,1927035
1229,4457708
1230,4224228
1231,1027927
1232,4327282
1233,3688144
1234,1494047
1235,3168643
1236,1100061
1237,1492731
1238,1411864
1239,2690514
1240,2129338
1241,4299268
1242,1928172
1243,3169078
1244,4460849
1245,1281187
1246,1268821
1247,5606472
1248,2985169
1249,2009597
1250,3286995
1251,2143992
1252,5530297
1253,1825395
1254,1459251
1255,3455170
1256,1404439
1257,2774174
1258,5271164
1259,1564295
1260,3952226
1261,5416230
1262,1912097
1263,4890286
1264,4757311
1265,5939640
1266,1849170
1267,1136559
1268,5001164
1269,1276540
1270,1563287
1271,4635954
1272,3478650
1273,5130359
1274,5802105
1275,1833480
1276,4461647
1277,2099052
1278,2228315
1279,2400409
1280,3585001
1281,1307732
1282,1096070
1283,2949463
1284,3847105
1285,3840844
1286,2556152
1287,1316310
1288,1508126
1289,1239071
1290,5540205
1291,2528658
1292,1242641
1293,1448398
1294,4220006
1295,3060659
1296,1860516
1297,3156438
1298,1243883
1299,1020118
1300,2257530
1301,5416214
1302,1016701
1303,1352712
1304,5656886
1305,3055477
1306,3037141
1307,3604550
1308,1248749
1309,3458418
1310,4362723
1311,1327033
1312,1397096
1313,5936514
1314,2278341
1315,5286435
1316,4881786
1317,3691492
1318,1414289
1319,4767472
1320,1749474
1321,1551973
1322,5923029
1323,1430891
1324,2624806
1325,2372573
1326,4894848
1327,5262129
1328,2801791
1329,2654675
1330,1837268
1331,4988753
1332,1855621
1333,5440735
1334,1857854
1335,3950865
1336,2114086
1337,3323510
1338,5917019
1339,2269105
1340,1330911
1341,1044010
1342,4919296
1343,5552242
1344,4399065
1345,5816395
1346,5911373
1347,1715577
1348,5156465
1349,3829961
1350,1397381
1351,5768387
1352,2071592
1353,1928751
1354,3172235
1355,1893945
1356,1418681
1357,3054275
1358,1834807
1359,3247281
1360,1324302
1361,5292903
1362,6000269
1363,1021267
1364,5178085
1365,5644088
1366,1420290
1367,4000469
1368,1398658
1369,1292998
1370,5924290
1371,4740561
1372,3323816
1373,5907153
1374,1153645
1375,3828170
1376,1314637
1377,2007981
1378,1285601
1379,1020028
1380,3576725
1381,1484720
1382,1985664
1383,5928568
1384,1349906
1385,1145599
1386,3169143
1387,1924853
1388,1354117
1389,5925628
1390,4757938
1391,3850854
1392,5160647
1393,3152456
1394,3716406
1395,1207246
1396,1510254
1397,5931197
1398,2432277
1399,5964064
1400,3954970
1401,1270785
1402,2115085
1403,5645407
1404,1610113
1405,1090516
1406,1102917
1407,5505835
1408,5604560
1409,4234281
1410,1737116
1411,1915697
1412,4351791
1413,1871885
1414,5521626
1415,3945255
1416,4483775
1417,3249056
1418,4885011
1419,2756663
1420,1188514
1421,1133695
1422,2110263
1423,3029211
1424,1154092
1425,1428096
1426,5257355
1427,1981518
1428,1483320
1429,5795248
1430,2516187
1431,3977566
1432,3438759
1433,1151045
1434,1287771
1435,3569628
1436,4851799
1437,1343244
1438,2662813
1439,5135355
1440,5917835
1441,4328761
1442,5289423
1443,5347360
1444,1089674
1445,4871952
1446,1851283
1447,4099858
1448,1098814
1449,4077610
1450,5649130
1451,3457014
1452,1294323
1453,4891779
1454,3148629
1455,2899326
1456,2121650
1457,3429582
1458,5524189
1459,3044465
1460,3085743
1461,3704468
1462,4080217
1463,1753169
1464,1039195
1465,1918531
1466,3425380
1467,5025813
1468,3713352
1469,5926147
1470,4197310
1471,1998976
1472,1238986
1473,3584504
1474,1246932
1475,2724831
1476,3673351
1477,3552277
1478,4064211
1479,4360222
1480,1950911
1481,2694227
1482,4610751
1483,1858454
1484,5782184
1485,5270644
1486,4890882
1487,1042129
1488,3286275
1489,5670997
1490,1977228
1491,3278315
1492,3379747
1493,3214991
1494,5767973
1495,5527985
1496,2762855
1497,2364253
1498,1931396
1499,1338760
1500,4955019
1501,4589627
1502,1341817
1503,2754502
1504,1469974
1505,1505085
1506,1678847
1507,5218137
1508,1390720
1509,1869058
1510,4331583
1511,1255448
1512,2145544
1513,1005398
1514,5944960
1515,1497368
1516,4134323
1517,1557035
1518,1170888
1519,3957393
1520,1080836
1521,4620824
1522,4863835
1523,2758950
1524,2143634
1525,4854202
1526,3802286
1527,1954809
1528,4990269
1529,2953901
1530,1261819
1531,6003700
1532,3567852
1533,4597456
1534,1605011
1535,1585970
1536,2908929
1537,5147438
1538,3113700
1539,4888565
1540,4739902
1541,2899190
1542,5802371
1543,3085212
1544,5552261
1545,1992401
1546,1326735
1547,5652901
1548,1036865
1549,5418704
1550,2521814
1551,3188329
1552,5924022
1553,2629222
1554,1241327
1555,1460546
1556,1287753
1557,1275803
1558,3289296
1559,3718430
1560,2506507
1561,5677249
1562,3032335
1563,3320967
1564,2388492
1565,1035250
1566,1379528
1567,4197355
1568,5795836
1569,1015153
1570,5262609
1571,2629582
1572,4760189
1573,2899294
1574,1070547
1575,5645358
1576,2785649
1577,4736073
1578,1933083
1579,5255412
1580,5787491
1581,3318454
1582,2098554
