variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
HLA-DRB1,5,0.7419,f1_weighted,,1.4484,3,6835,0.0,RidgeClassifier,False
NRG1,1,0.4386,f1_weighted,,1.567,3,5331,0.0,RidgeClassifier,False
NRG1,2,0.4324,f1_weighted,,1.567,3,5331,0.0,RidgeClassifier,False
NRG1,3,0.4242,f1_weighted,,1.567,3,5330,0.0,RidgeClassifier,False
NRG1,4,0.4347,f1_weighted,,1.567,3,5330,0.0,RidgeClassifier,False
NRG1,5,0.4317,f1_weighted,,1.567,3,5330,0.0,RidgeClassifier,False
CLU,1,0.4304,f1_weighted,,1.5685,3,5290,0.0,RidgeClassifier,False
CLU,2,0.4452,f1_weighted,,1.5685,3,5290,0.0,RidgeClassifier,False
CLU,3,0.434,f1_weighted,,1.5685,3,5290,0.0,RidgeClassifier,False
CLU,4,0.4376,f1_weighted,,1.5685,3,5290,0.0,RidgeClassifier,False
CLU,5,0.4332,f1_weighted,,1.5685,3,5289,0.0,RidgeClassifier,False
ANK3,1,0.9312,f1_weighted,,1.2553,3,7533,0.0,RidgeClassifier,False
ANK3,2,0.9319,f1_weighted,,1.2553,3,7533,0.0,RidgeClassifier,False
ANK3,3,0.9302,f1_weighted,,1.2552,3,7532,0.0,RidgeClassifier,False
ANK3,4,0.9316,f1_weighted,,1.2552,3,7532,0.0,RidgeClassifier,False
ANK3,5,0.934,f1_weighted,,1.2552,3,7532,0.0,RidgeClassifier,False
IL2RA,1,0.516,f1_weighted,,1.5007,3,5934,0.0,RidgeClassifier,False
IL2RA,2,0.5228,f1_weighted,,1.5007,3,5934,0.0,RidgeClassifier,False
IL2RA,3,0.5206,f1_weighted,,1.5008,3,5933,0.0,RidgeClassifier,False
IL2RA,4,0.5139,f1_weighted,,1.5008,3,5933,0.0,RidgeClassifier,False
IL2RA,5,0.5119,f1_weighted,,1.5008,3,5933,0.0,RidgeClassifier,False
PICALM,1,0.4218,f1_weighted,,1.581,3,5320,0.0,RidgeClassifier,False
PICALM,2,0.4331,f1_weighted,,1.581,3,5320,0.0,RidgeClassifier,False
PICALM,3,0.4193,f1_weighted,,1.581,3,5319,0.0,RidgeClassifier,False
PICALM,4,0.4132,f1_weighted,,1.581,3,5319,0.0,RidgeClassifier,False
PICALM,5,0.4177,f1_weighted,,1.581,3,5319,0.0,RidgeClassifier,False
SORL1,1,0.4595,f1_weighted,,1.553,3,5345,0.0,RidgeClassifier,False
SORL1,2,0.4344,f1_weighted,,1.553,3,5345,0.0,RidgeClassifier,False
SORL1,3,0.4415,f1_weighted,,1.553,3,5345,0.0,RidgeClassifier,False
SORL1,4,0.4509,f1_weighted,,1.553,3,5345,0.0,RidgeClassifier,False
SORL1,5,0.4446,f1_weighted,,1.553,3,5344,0.0,RidgeClassifier,False
LRRK2,1,0.9999,f1_weighted,,1.0,2,7978,0.0,RidgeClassifier,False
LRRK2,2,1.0,f1_weighted,,1.0,2,7978,0.0,RidgeClassifier,False
LRRK2,3,1.0,f1_weighted,,1.0,2,7978,0.0,RidgeClassifier,False
LRRK2,4,0.9999,f1_weighted,,1.0,2,7978,0.0,RidgeClassifier,False
LRRK2,5,1.0,f1_weighted,,1.0,2,7978,0.0,RidgeClassifier,False
CACNA1C,1,0.4542,f1_weighted,,1.585,3,5346,0.0,RidgeClassifier,False
CACNA1C,2,0.4366,f1_weighted,,1.585,3,5346,0.0,RidgeClassifier,False
CACNA1C,3,0.4355,f1_weighted,,1.585,3,5345,0.0,RidgeClassifier,False
CACNA1C,4,0.4311,f1_weighted,,1.585,3,5345,0.0,RidgeClassifier,False
CACNA1C,5,0.4307,f1_weighted,,1.585,3,5345,0.0,RidgeClassifier,False
TCF4,1,0.9389,f1_weighted,,1.2489,3,7551,0.0,RidgeClassifier,False
TCF4,2,0.9371,f1_weighted,,1.249,3,7551,0.0,RidgeClassifier,False
TCF4,3,0.9368,f1_weighted,,1.249,3,7551,0.0,RidgeClassifier,False
TCF4,4,0.9368,f1_weighted,,1.249,3,7551,0.0,RidgeClassifier,False
TCF4,5,0.9375,f1_weighted,,1.2489,3,7551,0.0,RidgeClassifier,False
CD33,1,0.439,f1_weighted,,1.5838,3,5460,0.0,RidgeClassifier,False
CD33,2,0.4372,f1_weighted,,1.5838,3,5460,0.0,RidgeClassifier,False
CD33,3,0.4366,f1_weighted,,1.5838,3,5460,0.0,RidgeClassifier,False
CD33,4,0.4495,f1_weighted,,1.5838,3,5460,0.0,RidgeClassifier,False
CD33,5,0.4407,f1_weighted,,1.5838,3,5460,0.0,RidgeClassifier,False
Volume_of_brain_grey_white_matter,1,0.9372,r2,,1.0011566609967146,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter,2,0.9302,r2,,0.9978077962421626,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter,3,0.9359,r2,,0.9977002933980667,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter,4,0.8682,r2,,0.9962851156757936,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter,5,0.9201,r2,,1.0066119709060475,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter_normalised_for_head_size,1,0.7911,r2,,1.008135047594791,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter_normalised_for_head_size,2,0.7899,r2,,0.9933223315480688,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter_normalised_for_head_size,3,0.7919,r2,,0.9946493484549758,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter_normalised_for_head_size,4,0.7408,r2,,0.9946540815537411,,3991,0.0,Ridge,False
Volume_of_brain_grey_white_matter_normalised_for_head_size,5,0.631,r2,,1.007767603346284,,3991,0.0,Ridge,False
Volume_of_white_matter,1,0.9402,r2,,1.0012235597967725,,3991,0.0,Ridge,False
Volume_of_white_matter,2,0.929,r2,,0.995085181543053,,3991,0.0,Ridge,False
Volume_of_white_matter,3,0.9449,r2,,0.9992520152785663,,3991,0.0,Ridge,False
Volume_of_white_matter,4,0.8742,r2,,0.9967451817838194,,3991,0.0,Ridge,False
Volume_of_white_matter,5,-4.9532,r2,,1.0072555248237904,,3991,0.0,Ridge,False
Volume_of_white_matter_normalised_for_head_size,1,0.8075,r2,,1.0099773064526762,,3991,0.0,Ridge,False
Volume_of_white_matter_normalised_for_head_size,2,0.8114,r2,,0.983866078842197,,3991,0.0,Ridge,False
Volume_of_white_matter_normalised_for_head_size,3,0.817,r2,,0.9998880536525935,,3991,0.0,Ridge,False
